title|link|image|price|description|date
Huawei P20 pro|https://www.ouedkniss.com/huawei-p20-pro-alger-el-biar-algerie-téléphones-d16355439||54000 DA Fixe|"P20 pro 128gb (1im) en excellent etat 10/10 .

p20 pro 128gb (2sim) en état 10/10 57000da
 
p20 pro 2sim  (twilight) avec boite et accessoires originaux 64000da

vente dans un magasin avec garantie de marche.
disponible jusqu’à minuit. "|
Samsung Galaxy A50|https://www.ouedkniss.com/samsung-galaxy-a50-alger-centre-algerie-téléphones-d21535448||35000 DA Fixe|A50 blanc fih boite w chargeur normale 128g w 6g ram|
Xiaomi Mi A3 + glass 9d|https://www.ouedkniss.com/xiaomi-mi-a3-glass-9d-alger-el-biar-algerie-téléphones-d20353025||31500 DA Fixe|"Mi a3 64gb (2sim) neuf (sous emballage)

vente dans un magasin avec garantie.
livraison possible vers toutes les wilayas.
disponible jusqu’à minuit.

mi band 4 7000da
aitdots 4800da"|
Samsung galaxy  j4 plus|https://www.ouedkniss.com/samsung-galaxy-j4-plus-blida-boufarik-algerie-téléphones-d21535428||1 DA Fixe||
Huawei P30 lite|https://www.ouedkniss.com/huawei-p30-lite-alger-el-biar-algerie-téléphones-d19462863||41000 DA Fixe|"P30 lite 128gb (2sim) neuf (sous emballage)

vente dans un magasin avec garantie.
livraison possible.
disponible jusqu’à minuit."|
Samsung galaxy  j4 plus|https://www.ouedkniss.com/samsung-galaxy-j4-plus-blida-boufarik-algerie-téléphones-d21535426||1 DA Fixe||
Samsung note 10 /note 10 + plus |https://www.ouedkniss.com/samsung-note-10-plus-alger-el-biar-algerie-téléphones-d21181503||113000 DA Fixe|"Galaxy note 10 256gb (2sim) en excellent etat 10/10 avec chargeur et kit mains libres.

galaxy note 10 plus (5g) 256gb/12gb (2sim) 137000da

galaxy note 10 plus 256gb/12gb (2sim) 137000da

vente dans un magasin avec garantie de marche.
livraison possible.
disponible jusqu’à minuit."|
Apple iPhone 6|https://www.ouedkniss.com/apple-iphone-6-blida-mouzaia-algerie-téléphones-d21535419||20000 DA Négociable|Salam 3ndi iphone 6 16gb état neuf 9,5/10 habat caba état de batterie 88% avec chargeur anti-choc et câble . ( tout marche intacte).|
Samsung Galaxy s9|https://www.ouedkniss.com/samsung-galaxy-s9-alger-el-biar-algerie-téléphones-d17425208||51000 DA Fixe|"Galaxy s9 64gb (2sim) en excellent état 10/10 avec chargeur et kit mains libres akg.

vente dans un magasin avec garantie.
livraison possible .
disponible jusqu’à minuit."|
Apple iPhone 6s Plus|https://www.ouedkniss.com/apple-iphone-6s-plus-alger-baba-hassen-algerie-téléphones-d21535372||4300000 DA Fixe|Hadja bzf chaba pu n9ey bezaf mafih hata khebcha matendemch alih |
Huawei P30 Pro|https://www.ouedkniss.com/huawei-p30-pro-alger-el-biar-algerie-téléphones-d21331339||98000 DA Fixe|"Huawei p30 pro 128gb (2sim) en excellent état 10/10 avec chargeur supercharge .

p30 pro 256gb (2sim) en excellent état 10/10 105000

p30 pro 512gb (2sim) en excellent état 10/10 118000da

p30 pro 128gb (2sim) neuf (boîte scellée) 118000da


vente dans un magasin avec garantie.
livrai"|
Iris Vox5|https://www.ouedkniss.com/iris-vox5-alger-bab-el-oued-algerie-téléphones-d21535355|||3andi iris vox5 très bon état bonne occasion mafih hata probleme|
Samsung Galaxy s10 128gb (2sim) |https://www.ouedkniss.com/samsung-galaxy-s10-128gb-2sim-alger-el-biar-algerie-téléphones-d19583055||78000 DA Fixe|"Galaxy s10 128gb (2sim) en état neuf 10/10 avec chargeur et kit mains libres akg.

s10 512gb (2sim) état neuf 86000da

vente dans un magasin avec garantie.
disponible jusqu’à minuit.
livraison possible."|
Condor L2|https://www.ouedkniss.com/condor-l2-alger-cheraga-algerie-téléphones-d21535345||15000 DA Négociable|Condor l2 presque jdid mémoire 32go ram 3go batrie fort tchad 2 jour.|
Huawei P20|https://www.ouedkniss.com/huawei-p20-alger-el-biar-algerie-téléphones-d16284074||39000 DA Fixe|"P20 128gb (2dim) en état 10/10 avec chargeur .

vente dans un magasin avec garantie.
livraison possible .
disponible jusqu'à minuit ."|
Apple iPhone 7 Plus |https://www.ouedkniss.com/apple-iphone-7-plus-alger-bir-mourad-rais-algerie-téléphones-d21535200||||
Apple XS Max 64gb 256gb 512gb|https://www.ouedkniss.com/apple-xs-max-64gb-256gb-512gb-alger-el-biar-algerie-téléphones-d20304272||165000 DA Fixe|"Iphone xs max 64gb neuf (boîte scellée) 

iphone xs max 256gb neuf (boîte scellée)188000da
iphone xs max 512gb neuf (boîte scellée) 195000da

vente dans un magasin avec garantie.
livraison possible vers toutes les wilayas .
disponible jusqu’à minuit."|
Oppo F11|https://www.ouedkniss.com/oppo-f11-alger-bab-ezzouar-algerie-téléphones-d21535170||48 DA Fixe|Oppo ta3 la maison avec garantie une année sa boîte  et accessoires |
Samsung Galaxy s10e |https://www.ouedkniss.com/samsung-galaxy-s10e-alger-el-biar-algerie-téléphones-d19346575||62000 DA Fixe|"Galaxy s10e 128gb (2sim) en excellent état avec chargeur et kit mains libres.

vente dans un magasin avec garantie.
livraison possible.
disponible jusqu’à minuit."|
Apple iPhone XS Max|https://www.ouedkniss.com/apple-iphone-xs-max-alger-birkhadem-algerie-téléphones-d21535378||99000 DA Fixe|"Bonjour, iphone xs max 64g en tres bon etat sauf cache arriere qui est fissuré.  batterie 96%.

✅garantie 4 jours 
✅livraison possible sur alger et toutes les wilayas 

disponible a bir khadem,kouba et said hamdine jusqu'à 23h "|
Samsung S10+ s10 plus|https://www.ouedkniss.com/samsung-s10-plus-alger-el-biar-algerie-téléphones-d19534260||118000 DA Fixe|"S10 plus 128gb (2sim) neuf (sous emballage)
garantie 12 mois chez samsung algerie.

vente dans un magasin avec garantie.
livraison possible 
disponible jusqu’à minuit.
"|
Samsung Galaxy M30 + glass 9d|https://www.ouedkniss.com/samsung-galaxy-m30-glass-9d-alger-el-biar-algerie-téléphones-d21515903||30900 DA Fixe|"Galaxy m30 32gb neuf (sous emballage)

vente dans un magasin avec garantie.
livraison possible.
disponible jusqu’à minuit."|
Samsung Galaxy note 9|https://www.ouedkniss.com/samsung-galaxy-note-9-alger-el-biar-algerie-téléphones-d19456199||70000 DA Fixe|"Note 9 128gb (1sim) en très bon état chargeur fast et kit mains libres .

vente dans un magasin avec garantie.
livraison possible.
disponible jusqu’à minuit."|
Apple iPhone 11 pro Max 512gb |https://www.ouedkniss.com/apple-iphone-11-pro-max-512gb-alger-el-biar-algerie-téléphones-d20891170||218000 DA Fixe|"Iphone 11 pro 64gb (gold) en état neuf 10/10.
batterie 100%

vente dans un magasin avec garantie .
livraison possible.
disponible jusqu’à minuit."|
Apple Iphone 11|https://www.ouedkniss.com/apple-iphone-11-alger-el-biar-algerie-téléphones-d21083929||125000 DA Fixe|"Iphone 11 64gb en excellent état 10/10 avec chargeur.
batterie 100%

iphone 11 64gb en excellent état 10/10 132000da

vente dans un magasin avec garantie.
livraison possible.
disponible jusqu’à minuit."|
|||||
Apple iPhone XS|https://www.ouedkniss.com/apple-iphone-xs-alger-el-biar-algerie-téléphones-d20082686||108000 DA Fixe|"Iphone xs  64gb en excellent état 10/10
batterie 95%+

iphone xs 256gb en excellent état 10/10 119000da
batterie 90%+

vente dans un magasin avec garantie.
disponible jusqu’à minuit.
livraison possible."|
Apple iPhone 7 32gb|https://www.ouedkniss.com/apple-iphone-7-32gb-alger-el-biar-algerie-téléphones-d15315191||41000 DA Fixe|"Iphone 7 32gb en excellent état 10/10 avec chargeur.

iphone 7 128gb en excellent état 10/10 46000da 

vente dans un magasin avec garantie.
livraison possible sur toutes les 
disponible jusqu'à minuit."|
Apple iPhone X|https://www.ouedkniss.com/apple-iphone-x-alger-el-biar-algerie-téléphones-d18380063||89000 DA Fixe|"Iphone x 64gb en état excellent état avec chargeur.

iphone x 256gb en excellent etat 96000da


iphone x 256gb 10/10 avec boîte et accessoires originaux 112000

vente dans un magasin avec garantie.
livraison possible.
disponible jusqu’à minuit."|
Apple Iphone 8 MDM|https://www.ouedkniss.com/apple-iphone-8-mdm-alger-birkhadem-algerie-téléphones-d21535260||42000 DA Fixe|"Bonjour, zed store vous propose un iphone 8 mdm 64g en excellent etat, libéré officiel , pas de compte icloud . 

✅vendu avec garantie 
✅livraison possible sur alger et toutes les wilayas 

disponible a bir khadem,kouba et said hamdine jusqu'à 23h 


"|
Apple iPhone XR /128gb 89000da|https://www.ouedkniss.com/apple-iphone-xr-128gb-89000da-alger-el-biar-algerie-téléphones-d19580874||84000 DA Fixe|"Iphone xr 64gb en état neuf 10/10 avec chargeur.
batterie 100%

jaune , bleu et rouge 86000da

iphone xr 128gb en excellent état 10/10 89000da

iphone xr 64gb neuf (boîte scellée) 108000da
iphone xr 12gb neuf (sous emballage) 112000da

vente dans un magasin avec garantie.
disponible j"|
Apple Iphone 7 32G|https://www.ouedkniss.com/apple-iphone-7-32g-alger-birkhadem-algerie-téléphones-d21535189||29000 DA Fixe|"Bonjour, iphone 7 32g en tres bon etat sauf une fissure en bas qui derange pas du tout .

✅vendu avec garantie 
✅livraison possible sur alger et toutes les wilayas 

disponible a bir khadem,kouba et said hamdine jusqu'à 23h "|
Apple iPhone X|https://www.ouedkniss.com/apple-iphone-x-alger-birkhadem-algerie-téléphones-d21430622||90000 DA Fixe|"Mallphone 
nouvel arrivage iphone x 64g batterie 91% état 10/10 plus d’info veuillez nous contacter sur merci 
magasin situé à birkhadem afrique bazar"|
Apple iPhone XS Max|https://www.ouedkniss.com/apple-iphone-xs-max-alger-birkhadem-algerie-téléphones-d21493328||127000 DA Négociable|"Mallphone 
nouvel arrivage iphone xs max noir 64g batterie 94%  avec chargeur d’origine pour plus d’info veuillez nous contacter magasin situé à birkhadem afrique bazar merci"|
Apple iPhone XS|https://www.ouedkniss.com/apple-iphone-xs-alger-birkhadem-algerie-téléphones-d21489174||119000 DA Fixe|"Mall phone 
nouvel arrivage iphone xs 256g batterie 90% état neuf 10/10 pour plus d’info veuillez nous contacter magasin situé à birkhadem afrique bazar merci"|
Apple iPhone XR|https://www.ouedkniss.com/apple-iphone-xr-alger-birkhadem-algerie-téléphones-d21493360||83000 DA Fixe|"Mall phone 
nouvel arrivage iphone xr red 64g 
batterie 97% 83000da
batterie 100% 86000 da 
plus d’info veuillez nous contacter magasin situé à birkhadem afrique bazar"|
Apple iPhone XS|https://www.ouedkniss.com/apple-iphone-xs-alger-birkhadem-algerie-téléphones-d21489093||119000 DA Fixe|"Mallphone 
nouvel arrivage iphone xs blanc état de batterie 93% état 10/10 pour plus d’info veuillez nous contacter magasin situé à birkhadem afrique bazar"|
Apple iPhone 8 Plus|https://www.ouedkniss.com/apple-iphone-8-plus-alger-birkhadem-algerie-téléphones-d21436936||79000 DA Fixe|"Mallphone 
iphone 8 plus rouge  64g batterie 91% avec chargeur d’origine  plus d’info contactez nous 
magasin situé à birkhadem afrique bazar"|
Apple iPhone 7|https://www.ouedkniss.com/apple-iphone-7-alger-birkhadem-algerie-téléphones-d21065873||41000 DA Fixe|"Mall-phone 
nouvel arrivage kaba england iphone 7 telephone neuf capacité batterie 89% - 90% 
merci de nous contacter pour plus d’info magasin situé à birkhadem afrique bazar soyez bienvenue "|
Apple iPhone XR|https://www.ouedkniss.com/apple-iphone-xr-alger-birkhadem-algerie-téléphones-d21426999||89000 DA Fixe|"Mallphone 
nouvel arrivage iphone xr rouge 128go batterie 96% a 89000da plus d’information veuillez nous contacter magasin situé a birkhadem afrique bazar"|
Apple iPhone XR|https://www.ouedkniss.com/apple-iphone-xr-alger-birkhadem-algerie-téléphones-d21530959||80000 DA Fixe|"Mallphone 
iphone xr nouvel arrivage batterie 99% noir aucune égratignure plus d’info contactez nous. magasin situé à birkhadem afrique bazar merci"|
SAMSUNG GALAXY M30 64GB  2019 - DUOS |https://www.ouedkniss.com/samsung-galaxy-m30-64gb-2019-duos-alger-bab-ezzouar-algerie-téléphones-d19436376||31000 DA Fixe|"➡️ produits original scellÉ 

➡️ vente dans un magasin

➡️ vente avec facture

➡️ disponible tt les couleurs 

➡️ bienvenu À tous dans la boutique mobily ⬅️ 

➡️ situé en bab ezzouar dans le centre commercial city centre ( carrefour) 1er étage 

➡️  la"|
Xiaomi Redmi Note 8|https://www.ouedkniss.com/xiaomi-redmi-note-8-alger-baraki-boumerdes-algerie-téléphones-d13592530||32500 DA Fixe|"Slm j ai des redmi note 8 etat neuf avec boit ett accessoires 64gb 4gb ram
téléphone neuf utiliser 2 jour ctt "|
Huawei P smart|https://www.ouedkniss.com/huawei-p-smart-alger-baraki-bab-ezzouar-boumerdes-birtouta-algerie-téléphones-d13376156||19500 DA Fixe|"Slm j ai des huawie p smart neuf etat 10/10 avec garanti et chargeur 
p smart 32gb 3gb ram 3200 batterie 2 cam 2 sim 
"|
Huawei Watch GT 2 46mm|https://www.ouedkniss.com/huawei-watch-gt-2-46mm-alger-chevalley-algerie-téléphones-d20949171||43900 DA Fixe|"Huawei gt 2 46mm ltn-b19 noir 
boîte scellée avec garantie 
huawei gt2 
disponible 
huawei gt 26500
p30 pro 8gb ram 128gb 117000"|
Nokia Mini phone Bm200|https://www.ouedkniss.com/nokia-mini-phone-bm200-blida-algerie-téléphones-d21311646||2000 DA Fixe|" 
2000da+ frais de livraison disponible 48 wilayas a domicile
payment a la livraison


description :

double puces

changement de voix femme homme enfant

oreillette peut être utilisé comme bluetooth

lecteur mp3 + lecteur carte mémoire

peut être utilisé comme bluetooth"|
Apple iPhone 11 pro Max  256GB DUOS|https://www.ouedkniss.com/apple-iphone-11-pro-max-256gb-duos-alger-chevalley-algerie-téléphones-d20570568||256000 DA Fixe|"Iphone 11 pro max 256gb duos silver et gold ou noir
iphone 11 pro max 64gb duos 226000
sous blister avec garantie 1an 
disponible aussi

apple watch 5 44mm 84900

airpods 2 26000

airpods 2 wireless 31000

airpods pro 52900

iphone 11 pro max
iphone 11 pro
iphone 11
"|
Apple iPad Pro 9.7 (2016)|https://www.ouedkniss.com/apple-ipad-pro-9-7-2016-alger-hydra-algerie-téléphones-d21409581|||"Ipad pro 9,7"" 10/10 lybri officel avec charger orginal "|
iPhone 11 pro 64GB  Vert ou gold et noir |https://www.ouedkniss.com/iphone-11-pro-64gb-vert-ou-gold-et-noir-alger-chevalley-algerie-téléphones-d20558357||200000 DA Fixe|"Iphone 11 pro 64gb une puce gold ou noir et vert
ou silver 
iphone 11 pro 256gb vert 225000

iphone 11 pro 64gb duos 214000

iphone 11 pro max 64gb vert ou gold duos 225000

iphone 11 pro max 

airpods 2 26000

airpods 2 wireless 31000

apple watch 5 44mm 84900

airpods pro 52900
au"|
LG G3|https://www.ouedkniss.com/lg-g3-alger-khraissia-algerie-téléphones-d21519576||||
Apple iPhone XS Max|https://www.ouedkniss.com/apple-iphone-xs-max-alger-birtouta-algerie-téléphones-d21084292||128000 DA Fixe|"Xs max produit état 100/100 
xs max blanc 64g  128000 da
xs max gold 256 g 137000 da "|
Samsung Galaxy S9+|https://www.ouedkniss.com/samsung-galaxy-s9-alger-cheraga-algerie-téléphones-d21390149|||"Salam 
 j’ai un samsung s9 plus couleur noir 128 gb état n9eyy bzaaf  puce wahda machi zoudj hada (f) "|
Huawei Mate 20 X|https://www.ouedkniss.com/huawei-mate-20-x-batna-algerie-téléphones-d21534414||93000 DA Négociable||
Samsung Galaxy J4|https://www.ouedkniss.com/samsung-galaxy-j4-alger-bir-mourad-rais-algerie-téléphones-d20797892||18000 DA Négociable|Vend j4 , 32 go . afficheur refait . seul , sans accessoire ..|
Samsung Galaxy Note 9  10/10|https://www.ouedkniss.com/samsung-galaxy-note-9-10-alger-bab-ezzouar-algerie-téléphones-d14812196||71000 DA Négociable|"⏩⏩⏩⏩•••• samsung ••••⬅️⬅️⬅️⬅️

⏩•galaxy s4 mini lte 4g  état 10/10 avec accessoire :7500da 

⏩•galaxy a3 2017  lte 4g  état 10/10 avec accessoire :19000da

⏩•galaxy a5 2016 lte 4g  état 10/10 avec accessoire :21000da 

⏩•galaxy s6 32"|
Samsung J6 plus|https://www.ouedkniss.com/samsung-j6-plus-alger-centre-algerie-téléphones-d21533337||20 DA Offert|"B la boite dyalo n9i 10/10 
etat de batterie 10/10"|
Samsung Galaxy A80|https://www.ouedkniss.com/samsung-galaxy-a80-batna-algerie-téléphones-d21534331||85000 DA Négociable||
Condor M1|https://www.ouedkniss.com/condor-m1-medea-algerie-téléphones-d21533309||1 DA Fixe||
Huawei P9--Huawei p9 Lite|https://www.ouedkniss.com/huawei-p9-lite-alger-birkhadem-algerie-téléphones-d21275919||15500 DA Fixe|"Je met en vente huawei p9 et p9 lite venue kaba état neuf 10/10 avec chargeur 
-huawei p9 lite prix 155000fda
-huawei p9 32g ram 3g  prix 20500"|
Apple iPhone 7 Plus|https://www.ouedkniss.com/apple-iphone-7-plus-alger-kouba-algerie-téléphones-d21384524||66000 DA Fixe|"Iphone 7 plus original était excellent sans aucun problème libérez officiel marche avec tout les réseaux avec chargeur original kitmen et entichoc était batterie 85% 
la livraison possible sur alger "|
Apple Iphone 6s 64G |https://www.ouedkniss.com/apple-iphone-6s-64g-alger-birkhadem-algerie-téléphones-d21400062||28500 DA Fixe|Je met en vente apple iphone 6s venue de angleterre état neuf 10/10 avec changeur d'origine et antichock|
Samsung J6|https://www.ouedkniss.com/samsung-j6-alger-bab-ezzouar-algerie-téléphones-d21533223||23 DA Négociable|J6 tout acc ocn prblm|
Samsung Galaxy S6-S7 edge-S9|https://www.ouedkniss.com/samsung-galaxy-s6-s7-edge-s9-alger-birkhadem-algerie-téléphones-d21400170||16500 DA Fixe|"Je met en vente galaxy des galaxy s6-s7 edge 
s9  produits européens état neuf 10/10  avec tout les accessoires d'origine . 
-galaxy s6 g920f 32g prix 16500da
-galaxy s7 edge 32g prix 29500da
-galaxy s9 g950f 64g duos prix 47500da"|
Apple 8|https://www.ouedkniss.com/apple-8-oran-algerie-téléphones-d21533188||11111111 DA Négociable|Mharassss icloud wakila souma m3koula|
