title|link|image|price|description|date
Huawei Mate 8-Mate 10 Lite 64G|https://www.ouedkniss.com/huawei-mate-8-10-lite-64g-alger-birkhadem-algerie-téléphones-d21476568||24000 DA Fixe|"Je met en vente huawei mate 8  et mate 10 lite 64g ram 4g produit originaux venue kaba état neuf 10/10 avec changeur d'origine 
-huawei mate 8 64g prix 23000da
-huawei mate 10 lite 64g prix 24000da"|
Huawei Y9(2018)-Honor 7X 64G|https://www.ouedkniss.com/huawei-y9-2018-honor-7x-64g-alger-birkhadem-algerie-téléphones-d21476751||24500 DA Fixe|"Je met en vente huawei y9 2018 et honor 7x 64g ram 4g  double puce produit original venue kaba état neuf 10/10 avec changeur d'origine 
"|
Apple iPhone 7 128gb |https://www.ouedkniss.com/apple-iphone-7-128gb-alger-bab-ezzouar-algerie-téléphones-d21534286||35000 DA Fixe|Iphone 7 128gb battery 78 |
Huawei P20 Pro|https://www.ouedkniss.com/huawei-p20-pro-alger-hydra-algerie-téléphones-d21534253||55000 DA Négociable|"Huawei p20 pro 128g 6go ram 
etat 9.5/10
avec chargeur super charge 22w"|
Apple iPhone 7 128gb |https://www.ouedkniss.com/apple-iphone-7-128gb-alger-bab-ezzouar-algerie-téléphones-d21534249||40000 DA Fixe|Iphone 7 128gb gris |
Samsung Galaxy Note 10 PLus|https://www.ouedkniss.com/samsung-galaxy-note-10-plus-alger-dely-brahim-algerie-téléphones-d20459697||155000 DA Négociable|"Bonjour,

votre magasin ajimex multimédia a le plaisir de vous proposer le tout dernier galaxy note 10 plus.

version 12 gb de ram et 256 gb de stockage

couleurs : black ou silver.

livraison gratuite vers les 48 wilayas.

garanti un an 

a très bientôt !"|
Apple iPhone XS Max|https://www.ouedkniss.com/apple-iphone-xs-max-alger-hydra-algerie-téléphones-d21534189||125000 DA Fixe|"Iphone xs max 64go blanc  93% batterie 
avec  chargeur d'origine "|
|||||
Apple Iphone 11 Pro 64 Gb |https://www.ouedkniss.com/apple-iphone-11-pro-64-gb-alger-dely-brahim-algerie-téléphones-d20560010||202000 DA Négociable|"Bonjour,

votre magasin ajimex multimédia a le plaisir de vous proposer en exclusivité le tout dernier iphone 11 , 11 pro et 11 pro max.

disponible en 64 gb et 256 gb

couleurs : vert nuit, space gray, gold.

produit neuf

garanti un an.

a très bientôt !"|
Apple Iphone 11 Pro 256 Gb |https://www.ouedkniss.com/apple-iphone-11-pro-256-gb-alger-dely-brahim-algerie-téléphones-d20560786||225000 DA Négociable|"Bonjour,

votre magasin ajimex multimédia a le plaisir de vous proposer en exclusivité le tout dernier iphone 11 , 11 pro et 11 pro max.

disponible en 64 gb et 256 gb

couleurs : vert nuit, space gray, gold.

produit neuf

garanti un an.

a très bientôt !"|
Apple Iphone 11 64 Gb|https://www.ouedkniss.com/apple-iphone-11-64-gb-alger-dely-brahim-algerie-téléphones-d20560850||149000 DA Négociable|"Bonjour,

votre magasin ajimex multimédia a le plaisir de vous proposer en exclusivité le tout dernier iphone 11 , 11 pro et 11 pro max.

disponible en 64 gb et 256 gb

couleurs : vert, red, black, white, yellow, purple

produit neuf

garanti un an.

a très bientôt !"|
Apple IPhone 11 ProMax 64 Duos|https://www.ouedkniss.com/apple-iphone-11-promax-64-duos-alger-dely-brahim-algerie-téléphones-d20562471||226000 DA Négociable|"Bonjour,

votre magasin ajimex multimédia a le plaisir de vous proposer en exclusivité le tout dernier 

iphone 11 pro max duos

disponible en 64 gb et 256 gb

couleurs : space gray, gold ou midnight green

produit neuf

garanti un an.

a très bientôt !"|
Apple Iphone 11 ProMax 256 Duo|https://www.ouedkniss.com/apple-iphone-11-promax-256-duo-alger-dely-brahim-algerie-téléphones-d20622977||255000 DA Négociable|"Bonjour,

votre magasin ajimex multimédia a le plaisir de vous proposer en exclusivité le tout dernier 

iphone 11 pro max duos

disponible en 64 gb et 256 gb

couleurs : space gray, gold ou midnight green

disponible aussi iphone 11 duos et iphone 11 pro duos

produit neuf

garanti "|
Apple Iphone 11 Pro Max 64 Gb |https://www.ouedkniss.com/apple-iphone-11-pro-max-64-gb-alger-dely-brahim-algerie-téléphones-d20687280||220000 DA Négociable|"Bonjour,

votre magasin ajimex multimédia a le plaisir de vous proposer en exclusivité le tout dernier

iphone 11 pro max 

disponible en 64 gb ou 256 gb 

couleurs : vert nuit, gold ou space gray 

dispo aussi iphone 11 et 11 pro

produit neuf

garanti un an.

a très bientôt !"|
"Apple Ipad 7 10.2 "" 32 gb wifi"|https://www.ouedkniss.com/apple-ipad-7-10-2-32-gb-wifi-alger-el-harrach-algerie-téléphones-d21534035||600000 DA Négociable|"Ipad 7 10.2"" wifi 32 gb ita 10 sur 10 wifi vant dans magasin à belfort avec garantie "|
LG Stylus 2 Plus|https://www.ouedkniss.com/lg-stylus-2-plus-alger-bab-el-oued-algerie-téléphones-d21344917||15500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
LG V20|https://www.ouedkniss.com/lg-v20-alger-bab-el-oued-algerie-téléphones-d21035387||19500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad خدمة التوصيل موجودة |
Huawei Mate10 lite|https://www.ouedkniss.com/huawei-mate10-lite-alger-bab-el-oued-algerie-téléphones-d21042983||25500 DA Fixe|Tilifonat original habtin kaba original hanot ta3na bab lawd |
Oppo F9 (F9 Pro)|https://www.ouedkniss.com/oppo-f9-pro-alger-bab-el-oued-algerie-téléphones-d20868474||34000 DA Fixe|F9 pro original 128gb 4gb 4ram hanot ta3na bab lawd mrhba bikom |
Sony Sonyi x|https://www.ouedkniss.com/sony-sonyi-x-alger-bab-el-oued-algerie-téléphones-d20868566||16000 DA Fixe|Sonyi x original 32gb 3 gb ram avec garonti et chargor original hanot ta3na f bab lwad |
Honor Honor 5c|https://www.ouedkniss.com/honor-5c-alger-bab-el-oued-algerie-téléphones-d20573072||14000 DA Fixe|Tilifonat original habtin kaba avac kit et chargor original hanout ta3na f bab lwad |
Apple iPhone 7 32gb|https://www.ouedkniss.com/apple-iphone-7-32gb-alger-bab-el-oued-algerie-téléphones-d20035731||40000 DA Fixe|Tilifonat original ete 10/10 battre 99% original habitn kaba |
Huawei Mate8|https://www.ouedkniss.com/huawei-mate8-alger-bab-el-oued-algerie-téléphones-d20035389||21500 DA Fixe|Tilifonat habtin kaba original hanot ta3naf f bab lwad.                                                                             ليكن في علم زبائننا الكرام ان كل الهواتف اصلية السومة والضمان |
Apple Iphone 6 64gb|https://www.ouedkniss.com/apple-iphone-6-64gb-alger-bab-el-oued-algerie-téléphones-d20035513||26500 DA Fixe|Tilifonat habtin kaba original avec kit et chargor hanot ta3na f bab lwad |
Sony Xperia XZ|https://www.ouedkniss.com/sony-xperia-xz-alger-bab-el-oued-algerie-téléphones-d19962358||17000 DA Fixe|Tilifonat original habtin kaba avac kit et chargor hanot ta3na f bab lwad |
Sony Z3+|https://www.ouedkniss.com/sony-z3-alger-bab-el-oued-algerie-téléphones-d19962320||14500 DA Fixe|Tilifonat original habtin kaba hanot ta3na f bab lwad |
Honor Honor 10 lite|https://www.ouedkniss.com/honor-10-lite-alger-bab-el-oued-algerie-téléphones-d21102817||28500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad السومة المهبولة |
LG G6+|https://www.ouedkniss.com/lg-g6-alger-bab-el-oued-algerie-téléphones-d21353109||18500 DA Fixe|Tilifonat original habtin kaba original hanot ta3na bab السومة هبال |
LG G6+|https://www.ouedkniss.com/lg-g6-alger-bab-el-oued-algerie-téléphones-d21353109||18500 DA Fixe|Tilifonat original habtin kaba original hanot ta3na bab السومة هبال |
Apple iPhone 7|https://www.ouedkniss.com/apple-iphone-7-blida-algerie-téléphones-d21535011||22 DA Négociable|Fih ga3 dozano 32g batterie 100/100 |
Huawei P10 Lite|https://www.ouedkniss.com/huawei-p10-lite-alger-bab-el-oued-algerie-téléphones-d19982329||20000 DA Fixe|Tilifonat original habtin kaba hanot ta3na f bab lwad |
Lenovo S5 Pro|https://www.ouedkniss.com/lenovo-s5-pro-alger-ain-taya-algerie-téléphones-d21534983||28000 DA Fixe|"الكمية جد محدودة  -الهاتف باسعار الجملة-
lenovo s5 pro 6g ram 64 mimoire
20 méga pixal
-النسخة الاصلية والعالمية-
السعر 28000 دج-"|
HTC One (M8)|https://www.ouedkniss.com/htc-one-m8-alger-bab-el-oued-algerie-téléphones-d20708481||14000 DA Fixe|Tilifonat 10/10 original habtin kaba hanot ta3na f bab lwad kayn livrison 48 wilaya |
Samsung Galaxy S6 edge|https://www.ouedkniss.com/samsung-galaxy-s6-edge-constantine-algerie-téléphones-d21534976||23 DA Négociable|Telephone bon etat avec la boite et charjeur fast original et 2 antichoc |
Honor P9 lite|https://www.ouedkniss.com/honor-p9-lite-alger-bab-el-oued-algerie-téléphones-d19982547||17000 DA Fixe|Tilifonat original habtin kaba hanot ta3na f bab lwad |
Huawei Mate 20|https://www.ouedkniss.com/huawei-mate-20-mila-chelghoum-laid-algerie-téléphones-d21534968||1 DA Négociable|Je cherche un huawei mate 20 |
LG Xpawr 2|https://www.ouedkniss.com/lg-xpawr-2-alger-bab-el-oued-algerie-téléphones-d21029576||13500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
Xiaomi Redmi Note 7|https://www.ouedkniss.com/xiaomi-redmi-note-7-alger-ben-aknoun-algerie-téléphones-d21534820||29000 DA Négociable|Produit neuf jamais utilisé cachettes sous blister.|
Samsung Galaxy Note9|https://www.ouedkniss.com/samsung-galaxy-note9-alger-bab-el-oued-algerie-téléphones-d21035179||78500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
Samsung Galaxy S7 edge|https://www.ouedkniss.com/samsung-galaxy-s7-edge-alger-ouled-fayet-algerie-téléphones-d21534378||28000 DA Négociable|"Bonjour 
je vends un tres beau samsung s7 edge couleur noir marche tre bien fih une petite fisure ml fo9 ray tban f les photo avc chargeur w antichoc accepte lechange avc iphone 6s plus "|
Huawei Ascend Mate7 Monarch|https://www.ouedkniss.com/huawei-ascend-mate7-monarch-alger-bab-el-oued-algerie-téléphones-d21035254||17500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
Infinix Note 5 stylus|https://www.ouedkniss.com/infinix-note-5-stylus-alger-el-achour-algerie-téléphones-d21283653||26000 DA Négociable|Infinix note 5 stylus |
Honor Nova plus |https://www.ouedkniss.com/honor-nova-plus-alger-bab-el-oued-algerie-téléphones-d19981275||20000 DA Fixe|Avac kit et chargor tilifonat habtin kaba hanout ta3na f bab lwad |
Apple iPad Pro 9.7 (2016)|https://www.ouedkniss.com/apple-ipad-pro-9-7-2016-alger-hydra-algerie-téléphones-d21409581|||"Ipad pro 9,7"" 10/10 lybri officel avec charger orginal "|
Honor Mate 9|https://www.ouedkniss.com/honor-mate-9-alger-bab-el-oued-algerie-téléphones-d19981483||29500 DA Fixe|Tilifonat habtin kaba original avac kit et chargor hanot ta3na fi bab lwad |
LG G3|https://www.ouedkniss.com/lg-g3-alger-khraissia-algerie-téléphones-d21519576||||
Samsung J7 2018|https://www.ouedkniss.com/samsung-j7-2018-alger-bab-el-oued-algerie-téléphones-d21035277||22500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
Samsung S5 2sim |https://www.ouedkniss.com/samsung-s5-2sim-alger-bab-el-oued-algerie-téléphones-d21259312||15500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
Honor Honor 7|https://www.ouedkniss.com/honor-7-alger-bab-el-oued-algerie-téléphones-d20529748||17500 DA Fixe|Tilifonat habtin kaba original avac kit et chargor original hanot ta3na f bab lwad o kayn livrions 48 wilaya |
Honor Y6 2|https://www.ouedkniss.com/honor-y6-2-alger-bab-el-oued-algerie-téléphones-d20530955||12500 DA Fixe|واسعارنا غير موجود مثلها في السوق ⚡️⚡️|
Huawei Mate S|https://www.ouedkniss.com/huawei-mate-s-alger-bab-el-oued-algerie-téléphones-d20412514||17000 DA Fixe|Tilifonat habtin kaba original hanot ta3na f bab lawd. avec kit et chargor original 100% ⚡️⚡️⚡️|
Huawei Mate 7|https://www.ouedkniss.com/huawei-mate-7-alger-bab-el-oued-algerie-téléphones-d20035437||16000 DA Fixe|Tilifonat habtin kaba original hanot ta3na f bab lwad |
Samsung S8+|https://www.ouedkniss.com/samsung-s8-alger-bab-el-oued-algerie-téléphones-d20151142||47000 DA Fixe|Tilifonat habtin kaba original 10/10 hanot ta3na f bab lwad kayn lesvrison 48 wlaya nbi3o jamla o ditai asoma hbal |
|||||
Sony Xperia XA1 Ultra|https://www.ouedkniss.com/sony-xperia-xa1-ultra-alger-bab-el-oued-algerie-téléphones-d19981161||18000 DA Fixe|Tilifonat habtin kaba original hanot ta3na f bab lwad |
Honor P9|https://www.ouedkniss.com/honor-p9-alger-bab-el-oued-algerie-téléphones-d19982457||20000 DA Fixe|Tilifonat original habtin kaba hanot ta3na f bab lwad |
LG Xpawr 3 |https://www.ouedkniss.com/lg-xpawr-3-alger-bab-el-oued-algerie-téléphones-d21029422||17000 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
Huawei Nova2|https://www.ouedkniss.com/huawei-nova2-alger-bab-el-oued-algerie-téléphones-d21029392||25500 DA Fixe|Tilifonat original habtin kaba hanot ta3na bab lwad |
Huawei Honor 6X|https://www.ouedkniss.com/huawei-honor-6x-alger-bab-el-oued-algerie-téléphones-d20327439||18000 DA Fixe|Hwawi 6x 32gb 4gb la ram tilifonat original habtin kaba hanot ta3na f bab lwad nlivriwo l 48 wilaya |
Samsung Galaxy A5 (2017)|https://www.ouedkniss.com/samsung-galaxy-a5-2017-alger-baba-hassen-algerie-téléphones-d21454814||23500 DA Négociable|"The phone garage vous propose un samsung galaxy a5 2017, en etat neuf , 32gb.

- الهواتف اصلية و مضمونة .
-توصيل متوفر في الجزائر العاصمة .
-الصور حقيقية . 

produit original non rénové, je répète original non rénové.

- مرحب"|
Apple iPhone XS Max|https://www.ouedkniss.com/apple-iphone-xs-max-alger-baba-hassen-cheraga-hydra-algerie-téléphones-d21186296||136500 DA Fixe|- bonjour je mets en vente un iphone xsmax 256gb  etat neuf , accessoires offert cable et kitman libéré officiel marche intacte sans aucun problème avec garantie de marche de 72h  venu en provenance de l’europe ( france , uk ) , téléphone original non rénové, je répète original non rénov|
Apple iPhone 7|https://www.ouedkniss.com/apple-iphone-7-alger-baba-hassen-cheraga-algerie-téléphones-d21454741||38500 DA Négociable|"The phone garage vous propose un iphone 7 32gb gold en tres tres bonne etat , marche parfaitement.
- le téléphone est vendu avec une garantie de 72h.
-الهاتف اصلي ومضمون.
-الصور حقيقية .
-اشري راحة البال .
 
- produits original non rénové, je répèt"|
Apple iPhone 7 Plus|https://www.ouedkniss.com/apple-iphone-7-plus-alger-baba-hassen-ben-aknoun-cheraga-algerie-téléphones-d21233232||58500 DA Négociable|- bonjour je mets en vente un iphone 7 plus 32gb et un iphone x 256gb  etat neuf , accessoires offert cable et kitman libéré officiel marche intacte sans aucun problème avec garantie de marche de 72h venu en provenance de l’europe ( france , uk ) , téléphone original non rénové, je répète|
Apple Iphone6.iphone6s.iphone7|https://www.ouedkniss.com/apple-iphone6-iphone6s-iphone7-alger-baba-hassen-cheraga-hydra-algerie-téléphones-d21187094||26500 DA Négociable|- bonjour je mets en vente deux iphone 6s 16gb , et 4 iphone 6 16gb , et 2 iphone 7 gold et blanc.  etat neuf , accessoires offert cable et kitman libéré officiel marche intacte sans aucun problème avec garantie de marche de 72h venu en provenance de l’europe ( france , uk ) , téléphone origi|
Apple Iphone XS Gold 64GB |https://www.ouedkniss.com/apple-iphone-xs-gold-64gb-alger-kouba-algerie-téléphones-d21534005||108000 DA Fixe|"Bonsoir 
je vend un iphone xs 64gb gold en parfaite état libérer officiel de chez apple batterie  91%  
la vente dans un magasin avec garantie pour plus  d'informations veuillez m'appeler merci "|
Samsung Galaxy a50 128gb |https://www.ouedkniss.com/samsung-galaxy-a50-128gb-alger-bab-ezzouar-algerie-téléphones-d21533995||35000 DA Fixe|Galaxy a50 128gb dual sim |
Apple iPhone XS|https://www.ouedkniss.com/apple-iphone-xs-alger-bab-ezzouar-algerie-téléphones-d21533949||98000 DA Fixe|Iphone xs 256gb noir état 8 sur 10 |
Apple IPhone XR 64G •10/10  UK |https://www.ouedkniss.com/apple-iphone-xr-64g-10-uk-alger-bab-ezzouar-algerie-téléphones-d16678262||85000 DA Fixe|"▶️ iphone se 16g chargeur original  
gris,blanc.rose.gold.état neuf. libéré officiel : 20000da

▶️ iphone se 32gchargeur original  
gris,blanc.rose.gold.état neuf. libéré officiel : 22000da

▶️ iphone 5s 16g chargeur original  
gris,blanc.rose.gold.état neuf. libé"|
Apple IPhone 7 Plus   128G • 256G  10/10 UK|https://www.ouedkniss.com/apple-iphone-7-plus-128g-256g-10-uk-alger-bab-ezzouar-algerie-téléphones-d13983734||68000 DA Négociable|"▶️ iphone se 16g chargeur original  
gris,blanc.rose.gold.état neuf. libéré officiel : 20000da

▶️ iphone se 32gchargeur original  
gris,blanc.rose.gold.état neuf. libéré officiel : 22000da

▶️ iphone 5s 16g chargeur original  
gris,blanc.rose.gold.état neuf. libé"|
Samsung Galaxy A30S • A50S |https://www.ouedkniss.com/samsung-galaxy-a30s-a50s-alger-bab-ezzouar-algerie-téléphones-d8928090||43500 DA Négociable|"⏩⏩⏩⏩•••• samsung ••••⬅️⬅️⬅️⬅️

⏩•galaxy s4 mini lte 4g  état 10/10 avec accessoire :7500da 

⏩•galaxy a3 2017  lte 4g  état 10/10 avec accessoire :19000da

⏩•galaxy a5 2016 lte 4g  état 10/10 avec accessoire :21000da 

⏩•galaxy s6 32"|
Xiaomi Redmi note 8|https://www.ouedkniss.com/xiaomi-redmi-note-8-alger-baraki-algerie-téléphones-d20910761||33500 DA Fixe|"Salem ; 
 redmi note 8 4g 64go black bleu  33 500
 redmi note 8 4g 64go blanc 33 800
 redmi note 8 pro 6g 128go bleu ocean 46 500 

tout neuf. jamais servi . Écran protège avec verre trempé 500 dn  et coque en silicone. produit original fourni avec sa boîte complete et toutes ses access"|
Samsung galaxy note 8|https://www.ouedkniss.com/samsung-galaxy-note-8-alger-bologhine-algerie-téléphones-d21531507||54500 DA Négociable|Galaxy note 8 duos 65g noir etat/10/10|
Samsung Galaxy Note9|https://www.ouedkniss.com/samsung-galaxy-note9-alger-bologhine-algerie-téléphones-d21531546||78000 DA Négociable|Note9 128g noir duos avec accessoires et boîtes état 10/10|
Samsung Galaxy S9+|https://www.ouedkniss.com/samsung-galaxy-s9-alger-bologhine-algerie-téléphones-d21531584||58500 DA Fixe|S9 plus 64g duos couleur rose état 10/10|
